source_city,destination_city,source_airport,destination_airport,airline_name,airline_country
1,10,"Albuquerque International Sunport","Los Angeles International Airport","US Airways","United States"
1,14,"Albuquerque International Sunport","Phoenix Sky Harbor International Airport","US Airways","United States"
1,3,"Albuquerque International Sunport","Chicago O'Hare International Airport","US Airways","United States"
10,1,"Los Angeles International Airport","Albuquerque International Sunport","US Airways","United States"
10,12,"Los Angeles International Airport","Miami International Airport","US Airways","United States"
10,14,"Los Angeles International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
10,16,"Los Angeles International Airport","Salt Lake City International Airport","US Airways","United States"
10,17,"Los Angeles International Airport","San Francisco International Airport","US Airways","United States"
10,3,"Los Angeles International Airport","Chicago O'Hare International Airport","US Airways","United States"
10,5,"Los Angeles International Airport","George Bush Intercontinental Houston Airport","US Airways","United States"
10,6,"Los Angeles International Airport","Indianapolis International Airport","US Airways","United States"
10,9,"Los Angeles International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
10,9,"Los Angeles International Airport","Washington Dulles International Airport","US Airways","United States"
11,12,"Memphis International Airport","Miami International Airport","US Airways","United States"
11,3,"Memphis International Airport","Chicago O'Hare International Airport","US Airways","United States"
11,9,"Memphis International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
12,10,"Miami International Airport","Los Angeles International Airport","US Airways","United States"
12,13,"Miami International Airport","Minneapolis-St Paul International/Wold-Chamberlain Airport","US Airways","United States"
12,14,"Miami International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
12,18,"Miami International Airport","Seattle Tacoma International Airport","US Airways","United States"
12,2,"Miami International Airport","Hartsfield Jackson Atlanta International Airport","US Airways","United States"
12,6,"Miami International Airport","Indianapolis International Airport","US Airways","United States"
12,9,"Miami International Airport","Washington Dulles International Airport","US Airways","United States"
13,12,"Minneapolis-St Paul International/Wold-Chamberlain Airport","Miami International Airport","US Airways","United States"
13,14,"Minneapolis-St Paul International/Wold-Chamberlain Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
13,3,"Minneapolis-St Paul International/Wold-Chamberlain Airport","Chicago O'Hare International Airport","US Airways","United States"
13,9,"Minneapolis-St Paul International/Wold-Chamberlain Airport","Ronald Reagan Washington National Airport","US Airways","United States"
14,1,"Phoenix Sky Harbor International Airport","Albuquerque International Sunport","US Airways","United States"
14,10,"Phoenix Sky Harbor International Airport","Los Angeles International Airport","US Airways","United States"
14,12,"Phoenix Sky Harbor International Airport","Miami International Airport","US Airways","United States"
14,16,"Phoenix Sky Harbor International Airport","Salt Lake City International Airport","US Airways","United States"
14,17,"Phoenix Sky Harbor International Airport","San Francisco International Airport","US Airways","United States"
14,18,"Phoenix Sky Harbor International Airport","Seattle Tacoma International Airport","US Airways","United States"
14,19,"Phoenix Sky Harbor International Airport","Spokane International Airport","US Airways","United States"
14,2,"Phoenix Sky Harbor International Airport","Hartsfield Jackson Atlanta International Airport","US Airways","United States"
14,2,"Phoenix Sky Harbor International Airport","Hartsfield Jackson Atlanta International Airport","US Airways","United States"
14,5,"Phoenix Sky Harbor International Airport","George Bush Intercontinental Houston Airport","US Airways","United States"
14,6,"Phoenix Sky Harbor International Airport","Indianapolis International Airport","US Airways","United States"
14,7,"Phoenix Sky Harbor International Airport","Kansas City International Airport","US Airways","United States"
14,9,"Phoenix Sky Harbor International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
16,10,"Salt Lake City International Airport","Los Angeles International Airport","US Airways","United States"
16,14,"Salt Lake City International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
16,3,"Salt Lake City International Airport","Chicago O'Hare International Airport","US Airways","United States"
17,10,"San Francisco International Airport","Los Angeles International Airport","US Airways","United States"
17,12,"San Francisco International Airport","Miami International Airport","US Airways","United States"
17,14,"San Francisco International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
17,3,"San Francisco International Airport","Chicago O'Hare International Airport","US Airways","United States"
18,12,"Seattle Tacoma International Airport","Miami International Airport","US Airways","United States"
18,14,"Seattle Tacoma International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
18,3,"Seattle Tacoma International Airport","Chicago O'Hare International Airport","US Airways","United States"
19,14,"Spokane International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
2,12,"Hartsfield Jackson Atlanta International Airport","Miami International Airport","US Airways","United States"
2,14,"Hartsfield Jackson Atlanta International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
2,3,"Hartsfield Jackson Atlanta International Airport","Chicago O'Hare International Airport","US Airways","United States"
3,1,"Chicago O'Hare International Airport","Albuquerque International Sunport","US Airways","United States"
3,10,"Chicago O'Hare International Airport","Los Angeles International Airport","US Airways","United States"
3,12,"Chicago O'Hare International Airport","Miami International Airport","US Airways","United States"
3,13,"Chicago O'Hare International Airport","Minneapolis-St Paul International/Wold-Chamberlain Airport","US Airways","United States"
3,16,"Chicago O'Hare International Airport","Salt Lake City International Airport","US Airways","United States"
3,17,"Chicago O'Hare International Airport","San Francisco International Airport","US Airways","United States"
3,5,"Chicago O'Hare International Airport","George Bush Intercontinental Houston Airport","US Airways","United States"
3,9,"Chicago O'Hare International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
5,10,"George Bush Intercontinental Houston Airport","Los Angeles International Airport","US Airways","United States"
5,12,"George Bush Intercontinental Houston Airport","Miami International Airport","US Airways","United States"
5,14,"George Bush Intercontinental Houston Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
5,3,"George Bush Intercontinental Houston Airport","Chicago O'Hare International Airport","US Airways","United States"
6,10,"Indianapolis International Airport","Los Angeles International Airport","US Airways","United States"
6,12,"Indianapolis International Airport","Miami International Airport","US Airways","United States"
6,3,"Indianapolis International Airport","Chicago O'Hare International Airport","US Airways","United States"
6,9,"Indianapolis International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
6,9,"Indianapolis International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
7,14,"Kansas City International Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
7,3,"Kansas City International Airport","Chicago O'Hare International Airport","US Airways","United States"
7,9,"Kansas City International Airport","Ronald Reagan Washington National Airport","US Airways","United States"
9,10,"Ronald Reagan Washington National Airport","Los Angeles International Airport","US Airways","United States"
9,10,"Washington Dulles International Airport","Los Angeles International Airport","US Airways","United States"
9,11,"Ronald Reagan Washington National Airport","Memphis International Airport","US Airways","United States"
9,13,"Ronald Reagan Washington National Airport","Minneapolis-St Paul International/Wold-Chamberlain Airport","US Airways","United States"
9,14,"Ronald Reagan Washington National Airport","Phoenix Sky Harbor International Airport","US Airways","United States"
9,3,"Ronald Reagan Washington National Airport","Chicago O'Hare International Airport","US Airways","United States"
9,7,"Ronald Reagan Washington National Airport","Kansas City International Airport","US Airways","United States"
